name,policy_index,servo_id,servo_sign,joint_zero_rad,training_default_rad,min_rad,max_rad,reference,reference_rad,sample_count,measured_reference_step_median,measured_step_min,measured_step_max,measured_step_span,measured_step_stdev,old_center_step,proposed_center_step,correction_steps,expected_reference_step_old_map,expected_reference_step_proposed_map,mapped_rad_before_calibration,reference_error_before_rad,reference_error_before_deg,old_min_step,old_max_step,derived_min_step,derived_max_step,derived_raw_range_inside_servo,raw_servo_step_min,raw_servo_step_max,status
leg_left_hip_roll_joint,0,1,-1,0.0,0.0,-0.6948932969121955,0.7807962210337913,model-zero,0.0,250,2060.0,2060,2060,0,0.0,2041,2060,19,2041,2060,-0.02914563496982718,-0.02914563496982718,-1.669921875,1532,2494,1551,2513,True,0,4095,FINE_SOFTWARE_CORRECTION
leg_left_hip_yaw_joint,1,2,-1,0.0,0.0,-0.08897088569736719,0.6442719309119693,model-zero,0.0,250,2043.0,2043,2043,0,0.0,2027,2043,16,2027,2043,-0.02454369260617026,-0.02454369260617026,-1.40625,1607,2085,1623,2101,True,0,4095,FINE_SOFTWARE_CORRECTION
leg_left_hip_pitch_joint,2,3,-1,0.0,-0.24,-1.9220779272207085,0.6810874698212247,model-zero,0.0,250,2155.0,2155,2155,0,0.0,2110,2155,45,2110,2155,-0.06902913545485385,-0.06902913545485385,-3.955078125,1666,3363,1711,3408,True,0,4095,INSPECT_MECHANICAL_ALIGNMENT
leg_left_knee_pitch_joint,3,4,-1,0.0,0.62,0.1349903093339364,2.2350100079493793,model-zero,0.0,250,1701.0,1701,1701,0,0.0,2051,1701,-350,2051,1701,0.5368932757599744,0.5368932757599744,30.761718749999996,594,1963,244,1613,True,0,4095,MECHANICAL_REINDEX_RECOMMENDED
leg_left_ankle_pitch_joint,4,5,1,0.0,-0.22,-0.8099418560036186,0.7102331047910518,model-zero,0.0,250,1731.0,1731,1731,0,0.0,2024,1731,-293,2024,1731,-0.44945637085049284,-0.44945637085049284,-25.751953125,1496,2487,1203,2194,True,0,4095,MECHANICAL_REINDEX_RECOMMENDED
leg_left_ankle_roll_joint,5,6,1,0.0,0.0,-0.5138835639416898,0.9127185687919565,model-zero,0.0,250,1979.0,1979,1979,0,0.0,2021,1979,-42,2021,1979,-0.06442719309119693,-0.06442719309119693,-3.69140625,1686,2616,1644,2574,True,0,4095,INSPECT_MECHANICAL_ALIGNMENT
leg_right_hip_roll_joint,6,7,1,0.0,0.0,-0.8743690490948155,0.6427379501240836,model-zero,0.0,250,2051.0,2051,2051,0,0.0,2038,2051,13,2038,2051,0.019941750242513337,0.019941750242513337,1.142578125,1468,2457,1481,2470,True,0,4095,FINE_SOFTWARE_CORRECTION
leg_right_hip_yaw_joint,7,8,1,0.0,0.0,-0.056757289151768725,0.701029220063738,model-zero,0.0,250,2051.0,2051,2051,0,0.0,2040,2051,11,2040,2051,0.01687378866674205,0.01687378866674205,0.9667968749999999,2003,2497,2014,2508,True,0,4095,FINE_SOFTWARE_CORRECTION
leg_right_hip_pitch_joint,8,9,1,0.0,-0.24,-1.9911070626755623,0.5460971604872883,model-zero,0.0,250,2097.0,2097,2097,0,0.0,2123,2097,-26,2123,2097,-0.039883500485026674,-0.039883500485026674,-2.28515625,825,2479,799,2453,True,0,4095,INSPECT_MECHANICAL_ALIGNMENT
leg_right_knee_pitch_joint,9,10,1,0.0,0.62,0.1718058482431918,2.2411459311009216,model-zero,0.0,250,2356.0,2356,2356,0,0.0,2051,2356,305,2051,2356,0.4678641403051206,0.4678641403051206,26.806640625,2163,3512,2468,3817,True,0,4095,MECHANICAL_REINDEX_RECOMMENDED
leg_right_ankle_pitch_joint,10,11,-1,0.0,-0.22,-0.8452234141249882,0.8191457407309324,model-zero,0.0,250,2325.0,2325,2325,0,0.0,2077,2325,248,2077,2325,-0.380427235395639,-0.380427235395639,-21.796875,1543,2628,1791,2876,True,0,4095,MECHANICAL_REINDEX_RECOMMENDED
leg_right_ankle_roll_joint,11,12,-1,0.0,0.0,-0.4433204476989503,1.0615147052168636,model-zero,0.0,250,2051.0,2051,2051,0,0.0,2058,2051,-7,2058,2051,0.010737865515199488,0.010737865515199488,0.615234375,1366,2347,1359,2340,True,0,4095,FINE_SOFTWARE_CORRECTION
